#,Huruf,Name,Unicode,Theta_Hat,Na,Nb,Nd,Kp,Kx,Ks,Ka,Kc,Qp,Qx,Qs,Qa,Qc,An,Ak,Aq,H_Star,U_Value,Rho,Status
1,ا,Alif,U+0627,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PASS
2,ب,Ba,U+0628,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,2,PASS
3,ت,Ta,U+062A,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,2,PASS
4,ث,Tsa,U+062B,2,3,0,0,0,1,0,0,0,1,0,0,0,0,3,1,1,0,0,2,PASS
5,ج,Jim,U+062C,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,3,PASS
6,ح,Ha,U+062D,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,PASS
7,خ,Kha,U+062E,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,3,PASS
8,د,Dal,U+062F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,PASS
9,ذ,Dzal,U+0630,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,PASS
10,ر,Ra,U+0631,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,PASS
11,ز,Zay,U+0632,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,PASS
12,س,Sin,U+0633,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,2,2,PASS
13,ش,Syin,U+0634,4,3,0,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,2,2,PASS
14,ص,Shad,U+0635,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4,2,PASS
15,ض,Dhad,U+0636,6,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,4,2,PASS
16,ط,Tha,U+0637,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,4,0,PASS
17,ظ,Zha,U+0638,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,4,0,PASS
18,ع,Ain,U+0639,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,2,PASS
19,غ,Ghain,U+063A,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,2,PASS
20,ف,Fa,U+0641,5,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,0,4,1,PASS
21,ق,Qaf,U+0642,6,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,4,2,PASS
22,ك,Kaf,U+0643,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,PASS
23,ل,Lam,U+0644,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,PASS
24,م,Mim,U+0645,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,4,0,PASS
25,ن,Nun,U+0646,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,PASS
26,و,Waw,U+0648,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,5,0,PASS
27,هـ,Haa,U+0647,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,8,0,PASS
28,ي,Ya,U+064A,3,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2,0,1,2,PASS
